antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.120388772031624,0.1880974831362878,0.04362805541452092,0.36239305940474753,1.926623649409345,1.0,0.020983230397504132,1.2733589695647636,0.546783913185789,0.16472231350640815,0.21467549693249366,0.29716845736211234
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.1880974831362878,0.120388772031624,0.04362805541452092,0.23194385531947712,1.926623649409345,1.0,0.020983230397504132,1.145243396671548,0.5923830254506285,0.16472231350640815,0.12682316885098216,0.29716845736211234
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.1483208819902807,0.1880974831362878,0.04269964459273228,0.28788693823658856,1.5305198848832942,1.0,0.014800859993806124,1.1401314769500102,0.4069927671099004,0.14537597234226446,0.12290817312129561,0.2574474987330708
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.1880974831362878,0.1483208819902807,0.04269964459273228,0.22700805922955308,1.5305198848832942,1.0,0.014800859993806124,1.101795598490774,0.42693209311319413,0.14537597234226446,0.09239063818208398,0.2574474987330708
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.1483208819902807,0.20419235511713935,0.035852614782041055,0.2417233116533816,1.1838019670947613,1.0,0.005566624575394339,1.049495068374153,0.1823035386123811,0.11322094461496174,0.0471608394033041,0.20865293175735292
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.20419235511713935,0.1483208819902807,0.035852614782041055,0.17558255186132424,1.1838019670947613,1.0,0.005566624575394339,1.033067798276945,0.19510257029297295,0.11322094461496174,0.03200932052291133,0.20865293175735292
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Strawberries'}),0.120388772031624,0.1483208819902807,0.03182708348444187,0.2643692011085673,1.7824138958794158,1.0,0.013970914634984559,1.1577534808128846,0.49904215332666685,0.13435806362717778,0.13625826518968648,0.23947591064279655
frozenset({'Organic Strawberries'}),frozenset({'Organic Hass Avocado'}),0.1483208819902807,0.120388772031624,0.03182708348444187,0.21458262017702578,1.7824138958794158,1.0,0.013970914634984559,1.1199283980278514,0.5154089985456736,0.13435806362717778,0.10708577283962122,0.23947591064279655
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.11432508885181693,0.1880974831362878,0.030934938710379344,0.27058748889734807,1.4385492266331463,1.0,0.009430677238020106,1.1130910212060392,0.3442066679311544,0.1139460325941758,0.10160087454798128,0.2175248785249475
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.1880974831362878,0.11432508885181693,0.030934938710379344,0.16446226815254697,1.4385492266331463,1.0,0.009430677238020106,1.0600058829059364,0.37548252863429793,0.1139460325941758,0.05660900932118822,0.2175248785249475
